RegionCode,CountryCode
US,USA
Canada,CAN
the UK,GBR
Korea,KOR
Japan,JPN
China,CHN
India,IND
Australia,AUS
New zealand,NZL
Turkey,TUR
Indonesia,IDN
European Union-27,AUT
European Union-27,BEL
European Union-27,BGR
European Union-27,HRV
European Union-27,CYP
European Union-27,CZE
European Union-27,DNK
European Union-27,EST
European Union-27,FIN
European Union-27,FRA
European Union-27,DEU
European Union-27,GRC
European Union-27,HUN
European Union-27,IRL
European Union-27,ITA
European Union-27,LVA
European Union-27,LTU
European Union-27,LUX
European Union-27,MLT
European Union-27,NLD
European Union-27,POL
European Union-27,PRT
European Union-27,ROU
European Union-27,SVK
European Union-27,SVN
European Union-27,ESP
European Union-27,SWE
Africa,AGO
Africa,BDI
Africa,BEN
Africa,BFA
Africa,BWA
Africa,CAF
Africa,CIV
Africa,CMR
Africa,COD
Africa,COG
Africa,COM
Africa,CPV
Africa,DJI
Africa,DZA
Africa,EGY
Africa,ERI
Africa,ESH
Africa,ETH
Africa,GAB
Africa,GHA
Africa,GIN
Africa,GMB
Africa,GNB
Africa,GNQ
Africa,KEN
Africa,LBR
Africa,LBY
Africa,LSO
Africa,MAR
Africa,MDG
Africa,MLI
Africa,MOZ
Africa,MRT
Africa,MUS
Africa,MWI
Africa,MYT
Africa,NAM
Africa,NER
Africa,NGA
Africa,REU
Africa,RWA
Africa,SDN
Africa,SEN
Africa,SHN
Africa,SLE
Africa,SOM
Africa,SSD
Africa,STP
Africa,SWZ
Africa,SYC
Africa,TCD
Africa,TGO
Africa,TUN
Africa,TZA
Africa,UGA
Africa,ZAF
Africa,ZMB
Africa,ZWE
Latin America and Caribbean,ABW
Latin America and Caribbean,AIA
Latin America and Caribbean,ARG
Latin America and Caribbean,ATG
Latin America and Caribbean,BES
Latin America and Caribbean,BHS
Latin America and Caribbean,BLM
Latin America and Caribbean,BLZ
Latin America and Caribbean,BOL
Latin America and Caribbean,BRA
Latin America and Caribbean,BRB
Latin America and Caribbean,CHL
Latin America and Caribbean,COL
Latin America and Caribbean,CRI
Latin America and Caribbean,CUB
Latin America and Caribbean,CUW
Latin America and Caribbean,CYM
Latin America and Caribbean,DMA
Latin America and Caribbean,DOM
Latin America and Caribbean,ECU
Latin America and Caribbean,FLK
Latin America and Caribbean,GLP
Latin America and Caribbean,GRD
Latin America and Caribbean,GTM
Latin America and Caribbean,GUF
Latin America and Caribbean,GUY
Latin America and Caribbean,HND
Latin America and Caribbean,HTI
Latin America and Caribbean,JAM
Latin America and Caribbean,KNA
Latin America and Caribbean,LCA
Latin America and Caribbean,MAF
Latin America and Caribbean,MEX
Latin America and Caribbean,MSR
Latin America and Caribbean,MTQ
Latin America and Caribbean,NIC
Latin America and Caribbean,PAN
Latin America and Caribbean,PER
Latin America and Caribbean,PRI
Latin America and Caribbean,PRY
Latin America and Caribbean,SLV
Latin America and Caribbean,SUR
Latin America and Caribbean,SXM
Latin America and Caribbean,TCA
Latin America and Caribbean,TTO
Latin America and Caribbean,URY
Latin America and Caribbean,VCT
Latin America and Caribbean,VEN
Latin America and Caribbean,VGB
Latin America and Caribbean,VIR
